bron,titel,datum,indieners,uitslag,voor,tegen,unaniem
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=98/Ingetrokken_motie_B.M20_Coordinatie_keten_uitkering-werk__CDA__50PLUS__GL_.pdf,"Ingetrokken motie B.M20 Coordinatie keten uitkering-werk (CDA, 50PLUS, GL)",06-11-2018,"['50PLUS', 'CDA', 'GL']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=99/Ingetrokken_motie_B.M21_Middelen_uitvoering_beleidskader_veiligheid__CDA__LPF_.pdf,"Ingetrokken motie B.M21 Middelen uitvoering beleidskader veiligheid (CDA, LPF)",06-11-2018,"['CDA', 'LPF']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=100/Ingetrokken_motie_B.M22_Gegevensuitwisseling_jeugdwet__CDA__LPF_.pdf,"Ingetrokken motie B.M22 Gegevensuitwisseling jeugdwet (CDA, LPF)",06-11-2018,"['CDA', 'LPF']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=101/Ingetrokken_motie_B.M23_Tegen_woonoverlast__SP__CU__LPF_.pdf,"Ingetrokken motie B.M23 Tegen woonoverlast (SP, CU, LPF)",06-11-2018,"['CU', 'LPF', 'SP']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=102/Aangenomen_motie_B.M24_Meevallers_naar_weerstandsvermogen__VVD__LPF__50PLUS__CU__DENK_.pdf,"Aangenomen motie B.M24 Meevallers naar weerstandsvermogen (VVD, LPF, 50PLUS, CU, DENK)",06-11-2018,"['50PLUS', 'CU', 'DENK', 'LPF', 'VVD']",Aangenomen,"['GL:7', 'PvdA:6', 'LPF:2', '50PLUS:2', 'LE:1', 'CU:1', 'DENK:1', 'VVD:7']","['CDA:6', 'D66:5', 'SP:4']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=103/Ingetrokken_motie_B.M25_Op_naar_een_beweegvriendelijke_stad__D66_.pdf,Ingetrokken motie B.M25 Op naar een beweegvriendelijke stad (D66),06-11-2018,['D66'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=104/Verworpen_motie_B.M26_Op_naar_een_duurzame_kantoorvoorraad__D66_.pdf,Verworpen motie B.M26 Op naar een duurzame kantoorvoorraad (D66),06-11-2018,['D66'],Verworpen,"['D66:5', 'DENK:1']","['GL:7', 'PvdA:6', 'CDA:6', 'LPF:2', '50PLUS:2', 'LE:1', 'CU:1', 'VVD:7', 'SP:4']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=105/Verworpen_motie_B.M27_Op_naar_een_Klimaatadaptieve_stad__D66_.pdf,Verworpen motie B.M27 Op naar een Klimaatadaptieve stad (D66),06-11-2018,['D66'],Verworpen,"['D66:5', 'DENK:1', 'SP:4']","['GL:7', 'PvdA:6', 'CDA:6', 'LPF:2', '50PLUS:2', 'LE:1', 'CU:1', 'VVD:7']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=106/Ingetrokken_motie_B.M28_Expats_en_woningmarkt__50PLUS_.pdf,Ingetrokken motie B.M28 Expats en woningmarkt (50PLUS),06-11-2018,['50PLUS'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=107/Ingetrokken_motie_B.M29_Onderzoek_eerst_de_mogelijkheden_van_2_tunnels_voordat_de_volgende_fase_van_de_Vestdijk_in_uitvoering_gaat__LPF_.pdf,Ingetrokken motie B.M29 Onderzoek eerst de mogelijkheden van 2 tunnels voordat de volgende fase van de Vestdijk in uitvoering gaat (LPF),06-11-2018,['LPF'],Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=108/Verworpen_motie_B.M30_investeren_in_de_toekomst_van_kinderen__SP_.pdf,Verworpen motie B.M30 investeren in de toekomst van kinderen (SP),06-11-2018,['SP'],Verworpen,"['PvdA:6', 'D66:5', 'DENK:1', 'SP:4']","['GL:7', 'CDA:6', 'LPF:2', '50PLUS:2', 'LE:1', 'CU:1', 'VVD:7']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=109/Toezegging_wethouder_List_inzake_Toeristenbelasting__amendement_B.A02_.pdf,Toezegging wethouder List inzake Toeristenbelasting (amendement B.A02),06-11-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=110/Toezegging_wethouder_List_inzake_Verkeer.pdf,Toezegging wethouder List inzake Verkeer,06-11-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=111/Toezegging_wethouder_Oosterveer_inzake_Collegeprogramma.pdf,Toezegging wethouder Oosterveer inzake Collegeprogramma,06-11-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=112/Toezegging_wethouder_Oosterveer_inzake_Inhuur.pdf,Toezegging wethouder Oosterveer inzake Inhuur,06-11-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=113/Toezegging_wethouder_Torunoglu_inzake_Wonen.pdf,Toezegging wethouder Torunoglu inzake Wonen,06-11-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=114/Toezegging_wethouder_Van_der_Meer_inzake_Buurtbudget_Groen__amendement_B.A06_.pdf,Toezegging wethouder Van der Meer inzake Buurtbudget Groen (amendement B.A06),06-11-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=40/Ingetrokken_actuele_motie_AcM1_AEDs_en_EHBO_materialen_voor_Stadstoezicht__LPF__OAE_.pdf,"Ingetrokken actuele motie AcM1 AEDs en EHBO materialen voor Stadstoezicht (LPF, OAE)",18-12-2018,"['LPF', 'OAE']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=41/Ingetrokken_actuele_motie_AcM2_Hartveilig_Eindhoven__CDA__D66__CU__50PLUS__DENK__LPF__OAE_.pdf,"Ingetrokken actuele motie AcM2 Hartveilig Eindhoven (CDA, D66, CU, 50PLUS, DENK, LPF, OAE)",18-12-2018,"['50PLUS', 'CDA', 'CU', 'D66', 'DENK', 'LPF', 'OAE']",Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=42/Ingetrokken_actuele_motie_AcM3_Reanimatieonderwijs_op_Eindhovense_middelbare_scholen__CDA__DENK__50PLUS__VVD__LPF__D66__OAE_.pdf,"Ingetrokken actuele motie AcM3 Reanimatieonderwijs op Eindhovense middelbare scholen (CDA, DENK, 50PLUS, VVD, LPF, D66, OAE)",18-12-2018,"['50PLUS', 'CDA', 'D66', 'DENK', 'LPF', 'OAE', 'VVD']",Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=43/Aangenomen_actuele_motie_AcM5_Normering_topinkomens_BIS_instelling_Concertzaal_en_Schouwburg__PvdA__GL__OAE__LE__50PLUS__SP__DENK__CU_.pdf,"Aangenomen actuele motie AcM5 Normering topinkomens BIS instelling Concertzaal en Schouwburg (PvdA, GL, OAE, LE, 50PLUS, SP, DENK, CU)",18-12-2018,"['50PLUS', 'CU', 'DENK', 'GL', 'LE', 'OAE', 'PvdA', 'SP']",Aangenomen,"['GL:7', 'PvdA:6', '50PLUS:2', 'LE:1', 'CU:1', 'OAE:2', 'DENK:1', 'SP:4']","['CDA:5', 'D66:5', 'LPF:2', 'VVD:7']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=44/Verworpen_actuele_motie_AcM6_Motie_van_Treurnis__SP__D66__DENK__OAE_.pdf,"Verworpen actuele motie AcM6 Motie van Treurnis (SP, D66, DENK, OAE)",18-12-2018,"['D66', 'DENK', 'OAE', 'SP']",Verworpen,"['D66:6', 'OAE:1', 'DENK:1', 'SP:4']","['GL:7', 'PvdA:6', 'CDA:5', 'LPF:2', '50PLUS:2', 'LE:1', 'CU:1', 'VVD:7']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=45/Toezegging_wethouder_Oosterveer_RV_Financiele_verordening_2019.pdf,Toezegging wethouder Oosterveer RV Financiele verordening 2019,18-12-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=46/Toezegging_wethouder_Oosterveer_Vragenhalfuur_afhandeling_bezwaarschriften_huishoudelijke_ondersteuning.pdf,Toezegging wethouder Oosterveer Vragenhalfuur afhandeling bezwaarschriften huishoudelijke ondersteuning,18-12-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=47/Toezegging_wethouder_Richters_Vragenhalfuur_Clientenraad.pdf,Toezegging wethouder Richters Vragenhalfuur Clientenraad,18-12-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=48/Toezegging_wethouder_Van_der_Meer_RV_Ecologische_inrichtingsvisie_Eindhovensch_kanaal.pdf,Toezegging wethouder Van der Meer RV Ecologische inrichtingsvisie Eindhovensch kanaal,18-12-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=49/Toezegging_wethouder_Van_der_Meer_vragenhalfuur_Uitstapstroken.pdf,Toezegging wethouder Van der Meer vragenhalfuur Uitstapstroken,18-12-2018,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=115/Verworpen_motie_M1_Ook__s_avonds_voldoende_toezicht_Baekelandplein___CDA_.pdf,Verworpen motie M1 Ook 's avonds voldoende toezicht Baekelandplein' (CDA),29-01-2019,['CDA'],Verworpen,['CDA:6'],"['GL:7', 'PvdA:6', 'D66:5', 'LPF:2', '50PLUS:1', 'LE:1', 'CU:1', 'OAE:2', 'DENK:1', 'VVD:7', 'SP:4']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=116/Ingetrokken_actuele_motie_AcM1_Pilot_Verlaatjes__PvdA__LPF__SP__OAE_.pdf,"Ingetrokken actuele motie AcM1 Pilot Verlaatjes (PvdA, LPF, SP, OAE)",29-01-2019,"['LPF', 'OAE', 'PvdA', 'SP']",Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=117/Ingetrokken_actuele_motie_AcM2_Er_staat_een_bulldozer_op_de_Vestdijk_jaja_een_bulldozer_op_de_Vestdijk__GL__PvdA__D66__DENK__OAE__LPF_.pdf,"Ingetrokken actuele motie AcM2 Er staat een bulldozer op de Vestdijk jaja een bulldozer op de Vestdijk (GL, PvdA, D66, DENK, OAE, LPF)",29-01-2019,"['D66', 'DENK', 'GL', 'LPF', 'OAE', 'PvdA']",Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=118/Verworpen_actuele_motie_AcM3_woningsplitsing_en_kamerverhuur__SP__CU__LPF__DENK__OAE__50PLUS_.pdf,"Verworpen actuele motie AcM3 woningsplitsing en kamerverhuur (SP, CU, LPF, DENK, OAE, 50PLUS)",29-01-2019,"['50PLUS', 'CU', 'DENK', 'LPF', 'OAE', 'SP']",Verworpen,"['LPF:2', '50PLUS:1', 'CU:1', 'OAE:2', 'DENK:1', 'SP:4']","['GL:7', 'PvdA:6', 'CDA:6', 'D66:5', 'LE:1', 'VVD:7']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=119/Ingetrokken_actuele_motie_AcM4_Platform_Wonen__Zorg_en_Welzijn__SP__D66__OAE__50PLUS__DENK_.pdf,"Ingetrokken actuele motie AcM4 Platform Wonen, Zorg en Welzijn (SP, D66, OAE, 50PLUS, DENK)",29-01-2019,"['50PLUS', 'D66', 'DENK', 'OAE', 'SP']",Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=120/Ingetrokken_actuele_motie_AcM5A_Preventie____Gevaarlijke_Liefde_____SP__D66__CU__DENk__OAE__.pdf,"Ingetrokken actuele motie AcM5A Preventie ‘Gevaarlijke Liefde’ (SP, D66, CU, DENk, OAE )",29-01-2019,"['CU', 'D66', 'DENK', 'OAE', 'SP']",Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=121/Aangenomen_actuele_motie_AcM6_100_jaar_vrouwenkiesrecht__D66__GL__DENK__CU__OAE__LPF__SP__CDA__50PLUS_.pdf,"Aangenomen actuele motie AcM6 100 jaar vrouwenkiesrecht (D66, GL, DENK, CU, OAE, LPF, SP, CDA, 50PLUS)",29-01-2019,"['50PLUS', 'CDA', 'CU', 'D66', 'DENK', 'GL', 'LPF', 'OAE', 'SP']",Aangenomen,[],[],ja
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=122/Toezegging_wethouder_Van_der_Meer_RV_Uitvoeren_fase_1_Slim_Verduurzamen_Vastgoed__SVV_.pdf,Toezegging wethouder Van der Meer RV Uitvoeren fase 1 Slim Verduurzamen Vastgoed (SVV),29-01-2019,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=125/Aangenomen_motie_M1A_Aanvulling_in_het_werkprogramma_2019_Metropoolregio_Eindhoven__MRE___LPF_.pdf,Aangenomen motie M1A Aanvulling in het werkprogramma 2019 Metropoolregio Eindhoven (MRE) (LPF),19-02-2019,['LPF'],Aangenomen,"['GL:7', 'PvdA:6', 'CDA:5', 'D66:6', 'LPF:2', 'LE:1', 'CU:1', 'OAE:1', 'DENK:1', 'VVD:7', 'SP:4']",['50PLUS:2'],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=126/Ingetrokken_actuele_motie_AcM1_Onafhankelijke_samenspraak_bij_bouwplannen__D66__SP_.pdf,"Ingetrokken actuele motie AcM1 Onafhankelijke samenspraak bij bouwplannen (D66, SP)",19-02-2019,"['D66', 'SP']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=127/Toezegging_wethouder_Torunoglu_Een_onafhankelijk_aanspreekpunt_bij_samenspraak__actuele_motie_AcM1_.pdf,Toezegging wethouder Torunoglu Een onafhankelijk aanspreekpunt bij samenspraak (actuele motie AcM1),19-02-2019,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=128/Aangenomen_actuele_motie_AcM2A_Stop_met_Herindiceren_Huishoudelijke_Ondersteuning__SP__DENK__D66__VVD__OAE__PvdA__GL__50PLUS__CU_.pdf,"Aangenomen actuele motie AcM2A Stop met Herindiceren Huishoudelijke Ondersteuning (SP, DENK, D66, VVD, OAE, PvdA, GL, 50PLUS, CU)",19-02-2019,"['50PLUS', 'CU', 'D66', 'DENK', 'GL', 'OAE', 'PvdA', 'SP', 'VVD']",Aangenomen,[],[],ja
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=129/Verworpen_actuele_motie_AcM3_Inhoudelijk_en_financieel_ruimte_voor_minnelijke_oplossingen_bezwaren_huishoudelijke_hulp__D66__OAE__SP__DENK_.pdf,"Verworpen actuele motie AcM3 Inhoudelijk en financieel ruimte voor minnelijke oplossingen bezwaren huishoudelijke hulp (D66, OAE, SP, DENK)",19-02-2019,"['D66', 'DENK', 'OAE', 'SP']",Verworpen,"['D66:6', 'CU:1', 'OAE:1', 'DENK:1', 'SP:4']","['GL:7', 'PvdA:6', 'CDA:5', 'LPF:2', '50PLUS:2', 'LE:1', 'VVD:7']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=130/Toezegging_wethouder_Van_der_Meer_Vraag_vragenhalfuur_Geen____knip____voor_de_neus_weg.pdf,Toezegging wethouder Van der Meer Vraag vragenhalfuur Geen ‘knip’ voor de neus weg,19-02-2019,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=124/Toezegging_wethouder_Van_der_Meer_rondvraag_D66_Philipsdorp_entree.pdf,Toezegging wethouder Van der Meer rondvraag D66 Philipsdorp entree,12-02-2019,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=131/Niet_in_stemming_gebracht_actuele_motie_AcM1_Tornen_aanThorbecke__PvdA__CU__50PLUS__DENK_.pdf,"Niet in stemming gebracht actuele motie AcM1 Tornen aanThorbecke (PvdA, CU, 50PLUS, DENK)",19-03-2019,"['50PLUS', 'CU', 'DENK', 'PvdA']",,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=132/Aangenomen_actuele_motie_AcM2B__Wat__geld_als_wettig_betaalmiddel__50PLUS__DENK_.pdf,"Aangenomen actuele motie AcM2B (Wat) geld als wettig betaalmiddel (50PLUS, DENK)",19-03-2019,"['50PLUS', 'DENK']",Aangenomen,"['GL:7', 'PvdA:6', 'CDA:5', 'D66:6', 'LPF:2', '50PLUS:2', 'LE:1', 'CU:1', 'DENK:1', 'SP:4']","['OAE:2', 'VVD:5']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=133/Ingetrokken_actuele_motie_AcM3_Uitstel__besluitvorming__AvA_Eindhoven_Airport__PvdA__GL__50PLUS__SP__CU_.pdf,"Ingetrokken actuele motie AcM3 Uitstel (besluitvorming) AvA Eindhoven Airport (PvdA, GL, 50PLUS, SP, CU)",19-03-2019,"['50PLUS', 'CU', 'GL', 'PvdA', 'SP']",Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=134/Toezegging_wethouder_Van_der_Meer_Vraag_V2_vragenhalfuur_Plastic_afval_reductie.pdf,Toezegging wethouder Van der Meer Vraag V2 vragenhalfuur Plastic afval reductie,19-03-2019,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=135/Toezegging_wethouder_Richters_Vraag_V3_vragenhalfuur_Jeugdzorg.pdf,Toezegging wethouder Richters Vraag V3 vragenhalfuur Jeugdzorg,19-03-2019,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=136/Toezegging_wethouder_Richters_Raadsvoorstel_Aanpassing_medisch_verwijsroute_in_Verordening_Sociaal_Domein.pdf,Toezegging wethouder Richters Raadsvoorstel Aanpassing medisch verwijsroute in Verordening Sociaal Domein,19-03-2019,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=137/Ingetrokken_motie_M1_Manifest_van_Nicosia__GL__OAE__50PLUS__M.A._Schreurs_.pdf,"Ingetrokken motie M1 Manifest van Nicosia (GL, OAE, 50PLUS, M.A. Schreurs)",09-04-2019,"['50PLUS', 'GL', 'M.A.Schreurs', 'OAE']",Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=138/Ingetrokken_motie_M2_Cingelshouck__PvdA__LPF__D66_.pdf,"Ingetrokken motie M2 Cingelshouck (PvdA, LPF, D66)",09-04-2019,"['D66', 'LPF', 'PvdA']",Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=139/Ingetrokken_motie_M3_Voorzorgsprincipe_zendmasten__OAE_v2.pdf,Ingetrokken motie M3 Voorzorgsprincipe zendmasten  OAE v2,09-04-2019,['OAE'],Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=140/Ingetrokken_motie_M4_Verplaats_zendmasten_bij_scholen_en_kinderdagverblijven__GL__OAE__M.A._Schreurs__CDA__50PLUS_.pdf,"Ingetrokken motie M4 Verplaats zendmasten bij scholen en kinderdagverblijven (GL, OAE, M.A. Schreurs, CDA, 50PLUS)",09-04-2019,"['50PLUS', 'CDA', 'GL', 'M.A.Schreurs', 'OAE']",Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=141/Verworpen_motie_M5_Gaan_we_voor_recreatief_vrijzwemmen_in_de_Tongelreep__D66__SP_.pdf,"Verworpen motie M5 Gaan we voor recreatief vrijzwemmen in de Tongelreep (D66, SP)",09-04-2019,"['D66', 'SP']",Verworpen,"['D66:5', 'CU:1', 'M.A. Schreurs:1', 'SP:4']","['GL:7', 'PvdA:6', 'CDA:6', 'LPF:2', '50PLUS:2', 'OAE:2', 'DENK:1', 'VVD:7']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=142/Aangehouden_actuele_motie_AcM1_Behoud_Dagbehandeling_Autisme__SP__DENK__D66__50PLUS__OAE__LPF_.pdf,"Aangehouden actuele motie AcM1 Behoud Dagbehandeling Autisme (SP, DENK, D66, 50PLUS, OAE, LPF)",09-04-2019,"['50PLUS', 'D66', 'DENK', 'LPF', 'OAE', 'SP']",Aangehouden,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=143/Ingetrokken_actuele_motie_AcM2_XL_Topinkomens_publieke_sector__GL__PvdA__SP__DENK__OAE__D66__50PLUS__CU_.pdf,"Ingetrokken actuele motie AcM2 XL Topinkomens publieke sector (GL, PvdA, SP, DENK, OAE, D66, 50PLUS, CU)",09-04-2019,"['50PLUS', 'CU', 'D66', 'DENK', 'GL', 'OAE', 'PvdA', 'SP']",Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=144/Ingetrokken_actuele_motie_AcM3B_30_kilometer_per_uur_binnen_de_bebouwde_kom__PvdA__GL__OAE__D66__50PLUS__SP__DENK_.pdf,"Ingetrokken actuele motie AcM3B 30 kilometer per uur binnen de bebouwde kom (PvdA, GL, OAE, D66, 50PLUS, SP, DENK)",09-04-2019,"['50PLUS', 'D66', 'DENK', 'GL', 'OAE', 'PvdA', 'SP']",Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=145/Ingetrokken_actuele_motie_AcM4A_Laaggeletterdheid__VVD__GL__CDA__D66__LPF__M.A._Schreurs__DENK__50PLUS__CU__OAE__PvdA_.pdf,"Ingetrokken actuele motie AcM4A Laaggeletterdheid (VVD, GL, CDA, D66, LPF, M.A. Schreurs, DENK, 50PLUS, CU, OAE, PvdA)",09-04-2019,"['50PLUS', 'CDA', 'CU', 'D66', 'DENK', 'GL', 'LPF', 'M.A.Schreurs', 'OAE', 'PvdA', 'VVD']",Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=146/Ingetrokken_actuele_motie_AcM5_Een_groene_stadboulevard_met_volop_ruimte_voor_fietsers_en_voetgangers__D66__GL__PvdA___SP__DENK__OAE_.pdf,"Ingetrokken actuele motie AcM5 Een groene stadboulevard met volop ruimte voor fietsers en voetgangers (D66, GL, PvdA,, SP, DENK, OAE)",09-04-2019,"['D66', 'DENK', 'GL', 'OAE', 'PvdA', 'SP']",Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=147/Aangehouden_actuele_motie_AcM6_Straffeloos_wapens_en_munitie_inleveren__CDA__50PLUS__VVD__LPF__D66__M.A._Schreurs__DENK__GL__PvdA__CU__OAE_.pdf,"Aangehouden actuele motie AcM6 Straffeloos wapens en munitie inleveren (CDA, 50PLUS, VVD, LPF, D66, M.A. Schreurs, DENK, GL, PvdA, CU, OAE)",09-04-2019,"['50PLUS', 'CDA', 'CU', 'D66', 'DENK', 'GL', 'LPF', 'OAE', 'PvdA', 'VVD']",Aangehouden,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=148/Toezegging_wethouder_Torunoglu_Vraag_Vragenhalfuur_Buurtontmoetingsplek_Zuidwest_Stratum.pdf,Toezegging wethouder Torunoglu Vraag Vragenhalfuur Buurtontmoetingsplek Zuidwest Stratum,09-04-2019,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=149/Toezegging_wethouder_Steenbakkers_Raadsvoorstel_Definitieve_vitale_sportvereniging.pdf,Toezegging wethouder Steenbakkers Raadsvoorstel Definitieve vitale sportvereniging,09-04-2019,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=150/Toezegging_Voetbalvisie.pdf,Toezegging Voetbalvisie,02-04-2019,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=151/Ingetrokken_motie_M1_Bijstandsgerechtigden_Beter_in_Beeld__GL__PvdA__50PLUS_CU__CDA__VVD__LPF__SP_.pdf,"Ingetrokken motie M1 Bijstandsgerechtigden Beter in Beeld (GL, PvdA, 50PLUS CU, CDA, VVD, LPF, SP)",14-05-2019,['VVD'],Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=152/Toezegging_wethouder_Torunoglu_Herzien_ontwerp_raadsbesluit_Rekenkamerrapport_Werk_aan_de_Winkel__Amendement_A4_.pdf,Toezegging wethouder Torunoglu Herzien ontwerp raadsbesluit Rekenkamerrapport Werk aan de Winkel (Amendement A4),14-05-2019,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=153/Verworpen_motie_M2_Structuurplan__VVD_.pdf,Verworpen motie M2 Structuurplan (VVD),14-05-2019,['VVD'],Verworpen,"['CU:1', 'OAE:2', 'DENK:1', 'VVD:7']","['GL:7', 'PvdA:6', 'CDA:5', 'D66:5', 'LPF:2', '50PLUS:2', 'LE:1', 'M.A. Schreurs:1', 'SP:2']",nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=154/Ingetrokken_motie_M3_ook_onderdeel_van_een_betere_toekomst__VVD_.pdf,Ingetrokken motie M3 ook onderdeel van een betere toekomst (VVD),14-05-2019,['VVD'],Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=155/Ingetrokken_motie_M4_Meer_aandacht_middensegment_woningbouw__CDA__D66__LPF_.pdf,"Ingetrokken motie M4 Meer aandacht middensegment woningbouw (CDA, D66, LPF)",14-05-2019,"['CDA', 'D66', 'LPF']",Ingetrokken na Toezegging,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=156/Ingetrokken_actuele_motie_AcM1_Maak_van_dak-_en_thuislozen_geen_zwervers__D66__LPF__DENK_.pdf,"Ingetrokken actuele motie AcM1 Maak van dak- en thuislozen geen zwervers (D66, LPF, DENK)",14-05-2019,"['D66', 'DENK', 'LPF']",Ingetrokken,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=157/Toezegging_wethouder_Torunoglu_Vragenhalfuur_Studentenhuisvesting_nog_4_maanden_tot_september__Vraag_V1_.pdf,Toezegging wethouder Torunoglu Vragenhalfuur Studentenhuisvesting nog 4 maanden tot september (Vraag V1),14-05-2019,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=158/Toezegging_wethouder_Van_der_Meer_Vragenhalfuur_Bijzet_afval_ondergrondse_afvalcontainers__Vraag_V2_.pdf,Toezegging wethouder Van der Meer Vragenhalfuur Bijzet afval ondergrondse afvalcontainers (Vraag V2),14-05-2019,[''],,[],[],nee
https://eindhoven.parlaeus.nl/user/motie/action=showdoc/gd=159/Ingetrokken_actuele_motie_AcM1_afname_jeugdzorg__PvdA__VVD__M.A._Schreurs__D66__50PLUS__GL__CU__DENK_.pdf,"Ingetrokken actuele motie AcM1 afname jeugdzorg (PvdA, VVD, M.A. Schreurs, D66, 50PLUS, GL, CU, DENK)",11-06-2019,"['50PLUS', 'CU', 'D66', 'DENK', 'GL', 'M.A.Schreurs', 'PvdA', 'VVD']",Ingetrokken na Toezegging,[],[],nee
